City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Lompoc,US,2021-06-28 15:04:21,34.6391,-120.4579,64.08,97,90,6.91
68,Arcola,IT,2021-06-28 15:04:22,44.1185,9.9127,94.64,36,8,1.95
69,Cayenne,GF,2021-06-28 15:03:43,4.9333,-52.3333,79.09,91,75,1.99
70,Constitucion,CL,2021-06-28 15:04:22,-35.3333,-72.4167,51.44,41,9,2.37
71,Puerto Ayora,EC,2021-06-28 15:04:23,-0.7393,-90.3518,76.96,89,30,7.0
72,Suleja,NG,2021-06-28 15:04:23,9.1758,7.1808,83.3,61,100,3.31
73,Bandundu,CD,2021-06-28 15:04:23,-3.3167,17.3667,97.84,18,94,3.71
74,Morwell,AU,2021-06-28 15:04:24,-38.2333,146.4,43.92,94,19,1.97
75,Dudinka,RU,2021-06-28 15:04:24,69.4058,86.1778,49.44,89,100,5.99
76,Elhovo,BG,2021-06-28 15:04:24,42.1667,26.5667,81.01,59,24,11.68
77,Toora-Khem,RU,2021-06-28 15:04:25,52.4675,96.11,49.68,76,26,2.48
78,Severo-Kurilsk,RU,2021-06-28 15:04:25,50.6789,156.125,46.02,93,50,10.89
79,Adrar,MR,2021-06-28 15:04:25,20.5022,-10.0711,110.75,5,23,21.34
80,Hermanus,ZA,2021-06-28 15:04:26,-34.4187,19.2345,51.8,85,100,9.35
81,Sisimiut,GL,2021-06-28 15:04:26,66.9395,-53.6735,37.38,92,100,5.59
82,Tomatlan,MX,2021-06-28 15:04:26,19.9333,-105.25,72.36,93,100,11.5
83,Agirish,RU,2021-06-28 15:04:27,61.9247,63.0231,69.78,45,92,4.94
84,Norman Wells,CA,2021-06-28 15:04:27,65.282,-126.8329,72.61,46,92,7.25
85,Luderitz,NA,2021-06-28 15:04:27,-26.6481,15.1594,61.61,65,7,10.09
86,Atuona,PF,2021-06-28 15:04:28,-9.8,-139.0333,78.44,73,27,23.58
87,Svetlaya,RU,2021-06-28 15:04:28,46.5389,138.3297,52.05,98,100,8.39
88,Georgetown,MY,2021-06-28 15:00:59,5.4112,100.3354,82.33,86,20,0.0
89,Ribeira Grande,PT,2021-06-28 15:04:28,38.5167,-28.7,75.6,73,40,12.66
90,Clyde River,CA,2021-06-28 15:04:29,70.4692,-68.5914,35.83,93,90,23.02
91,Cherskiy,RU,2021-06-28 15:04:29,68.75,161.3,55.58,63,16,3.4
92,Vyazemskiy,RU,2021-06-28 15:04:29,47.5378,134.7525,63.88,98,100,7.23
93,Chuy,UY,2021-06-28 15:04:30,-33.6971,-53.4616,44.56,77,100,23.44
94,Tuatapere,NZ,2021-06-28 15:04:30,-46.1333,167.6833,41.83,65,100,12.1
95,Nome,US,2021-06-28 15:04:31,64.5011,-165.4064,51.87,77,90,11.5
96,Hereford,GB,2021-06-28 15:04:31,52.0568,-2.7148,63.64,68,100,9.37
97,Mahebourg,MU,2021-06-28 15:01:06,-20.4081,57.7,74.25,72,19,13.76
98,Halifax,CA,2021-06-28 15:03:03,44.6453,-63.5724,92.52,70,29,1.99
99,Sur,OM,2021-06-28 15:04:32,22.5667,59.5289,91.33,50,0,4.09
100,Namie,JP,2021-06-28 15:04:32,37.4833,141.0,70.72,95,100,4.21
101,Cabedelo,BR,2021-06-28 15:04:32,-6.9811,-34.8339,83.07,69,46,16.33
102,Tuktoyaktuk,CA,2021-06-28 15:04:33,69.4541,-133.0374,48.65,74,9,11.03
103,Touros,BR,2021-06-28 15:00:27,-5.1989,-35.4608,82.69,61,44,17.92
104,Kaitangata,NZ,2021-06-28 15:04:33,-46.2817,169.8464,43.93,42,85,20.04
105,Upernavik,GL,2021-06-28 15:04:33,72.7868,-56.1549,34.93,92,100,11.01
106,Matalom,PH,2021-06-28 15:04:34,10.2831,124.7878,80.29,84,8,4.97
107,Port Hardy,CA,2021-06-28 15:04:34,50.6996,-127.4199,67.71,74,0,2.35
108,Sao Filipe,CV,2021-06-28 15:04:35,14.8961,-24.4956,77.2,75,3,7.85
109,Thiruvananthapuram,IN,2021-06-28 15:00:16,8.4833,76.9167,82.38,89,40,6.91
110,Srandakan,ID,2021-06-28 15:04:35,-7.9386,110.2506,58.73,89,100,4.36
111,Lumeje,AO,2021-06-28 15:04:35,-11.55,20.7833,81.64,17,79,6.2
112,Thompson,CA,2021-06-28 15:00:10,55.7435,-97.8558,71.1,39,27,7.78
113,Deniliquin,AU,2021-06-28 15:04:36,-35.5333,144.9667,37.99,92,0,5.3
114,Comodoro Rivadavia,AR,2021-06-28 15:04:36,-45.8667,-67.5,53.46,66,0,9.22
115,Maniitsoq,GL,2021-06-28 15:04:37,65.4167,-52.9,37.54,93,100,13.91
116,Gomba,HU,2021-06-28 15:04:37,47.3709,19.5306,93.18,33,37,5.19
117,Longyearbyen,SJ,2021-06-28 15:00:57,78.2186,15.6401,42.64,70,40,11.5
118,Goderich,CA,2021-06-28 15:04:38,43.7501,-81.7165,72.03,93,55,4.81
